月份,城市编号,城市,订单量（万单）,GMV（万元）,佣金收入（万元）,配送收入（万元）,商家结算成本（万元）,履约成本（万元）,补贴营销成本（万元）,支付成本（万元）,总部摊销（万元）,报表贡献利润（万元）,报表经营利润（万元）
2025-01,C1,徐州,280,16240,1624,420,200,840,420,81.2,550,502.8,-47.2
2025-02,C1,徐州,270,15660,1566,405,195,810,405,78.3,540,482.7,-57.3
2025-03,C1,徐州,300,17400,1740,450,210,900,420,87,550,573,23
2026-01,C1,徐州,320,18880,1888,480,220,928,416,94.4,570,709.6,139.6
2026-02,C1,徐州,315,18585,1858.5,472.5,218,913.5,409.5,92.925,570,697.075,127.075
2026-03,C1,徐州,340,20060,2006,510,230,986,408,100.3,580,791.7,211.7
2025-01,C3,泉州,330,20460,2250.6,495,250,924,330,102.3,500,1139.3,639.3
2025-02,C3,泉州,320,19840,2182.4,480,245,896,320,99.2,500,1102.2,602.2
2025-03,C3,泉州,350,21700,2387,525,260,980,332.5,108.5,510,1231,721
2026-01,C3,泉州,360,22680,2494.8,540,270,990,324,113.4,520,1337.4,817.4
2026-02,C3,泉州,355,22365,2460.15,532.5,268,976.25,319.5,111.825,520,1317.075,797.075
2026-03,C3,泉州,380,23940,2633.4,570,280,1045,323,119.7,530,1435.7,905.7
2025-01,C9,桂林,100,4800,432,150,90,340,220,24,300,-92,-392
2025-02,C9,桂林,95,4560,410.4,142.5,86,323,218.5,22.8,295,-97.4,-392.4
2025-03,C9,桂林,105,5040,453.6,157.5,94,357,231,25.2,300,-96.1,-396.1
2026-01,C9,桂林,125,6125,551.25,187.5,110,425,300,30.625,310,-126.875,-436.875
2026-02,C9,桂林,130,6370,573.3,195,115,442,325,31.85,310,-145.55,-455.55
2026-03,C9,桂林,140,6860,617.4,210,122,476,350,34.3,315,-154.9,-469.9
