月份,订单量（万单）,GMV（万元）
2023-07,760,42560
2023-08,790,45030
2023-09,750,42750
2023-10,820,46740
2023-11,860,49020
2023-12,900,51300
2024-01,920,51400
2024-02,880,49280
2024-03,960,53760
2024-04,1010,57570
2024-05,1080,61560
2024-06,1120,63840
2024-07,1180,67260
2024-08,1210,68970
2024-09,1160,66120
2024-10,1280,72960
2024-11,1370,78090
2024-12,1450,82650
2025-01,980,55860
2025-02,940,52640
2025-03,1040,58240
2025-04,1100,62700
2025-05,1190,67830
2025-06,1240,70680
2025-07,1320,75240
2025-08,1360,77520
2025-09,1300,74100
2025-10,1430,81510
2025-11,1520,86640
2025-12,1610,91770
